phase,episode,global_step,snapshot_name,expected_case,local_load,neighbor_load,scenario_local_load,scenario_neighbor_load,local_ue_count,neighbor_ue_count,local_bias,neighbor_bias,mean_raw_action,mean_applied_offset,mean_desired_offset,mean_tracking_error,handover_attempts,handover_successes,handover_failures,handover_ping_pongs,episode_return,expected_case_eMBB,local_load_eMBB,neighbor_load_eMBB,scenario_local_load_eMBB,scenario_neighbor_load_eMBB,local_ue_count_eMBB,neighbor_ue_count_eMBB,local_bias_eMBB,neighbor_bias_eMBB,mean_raw_action_eMBB,mean_applied_offset_eMBB,mean_desired_offset_eMBB,mean_tracking_error_eMBB,expected_case_URLLC,local_load_URLLC,neighbor_load_URLLC,scenario_local_load_URLLC,scenario_neighbor_load_URLLC,local_ue_count_URLLC,neighbor_ue_count_URLLC,local_bias_URLLC,neighbor_bias_URLLC,mean_raw_action_URLLC,mean_applied_offset_URLLC,mean_desired_offset_URLLC,mean_tracking_error_URLLC,expected_case_mMTC,local_load_mMTC,neighbor_load_mMTC,scenario_local_load_mMTC,scenario_neighbor_load_mMTC,local_ue_count_mMTC,neighbor_ue_count_mMTC,local_bias_mMTC,neighbor_bias_mMTC,mean_raw_action_mMTC,mean_applied_offset_mMTC,mean_desired_offset_mMTC,mean_tracking_error_mMTC
train,10,440,feasible_embb_offload_only,offload,0.975,0.8367647058823529,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,1.1982691824436187,1.5,-5.9418820951796265,7.4418820951796265,1,1,0,0,-40.4473751783371,offload,0.975,0.8367647058823529,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,1.1982691824436187,1.5,-5.9418820951796265,7.4418820951796265,neutral,0.806060606060606,0.8378787878787879,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.48150432109832764,0.2,-0.8,1.0,neutral,0.6765151515151515,0.8803030303030303,0.5454545454545454,0.48484848484848486,1.7,2.3,0.0,0.0,0.31841244697570803,0.75,-0.7700000000000001,1.52
train,11,480,feasible_embb_offload_only,offload,1.0,0.6558823529411765,0.8823529411764707,0.17647058823529413,3.65,1.35,-1.0,1.0,0.2954700291156769,0.35,-5.450888025940432,5.8008880259404325,1,1,0,0,-45.89003920555115,offload,1.0,0.6558823529411765,0.8823529411764707,0.17647058823529413,3.65,1.35,-1.0,1.0,0.2954700291156769,0.35,-5.450888025940432,5.8008880259404325,neutral,0.5159090909090909,0.49393939393939396,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.2694758176803589,-1.1,-0.7725,-0.32750000000000007,neutral,0.49318181818181817,0.990909090909091,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,0.3107980191707611,0.25,-0.8,1.05
train,12,520,feasible_embb_offload_only,offload,0.9926470588235293,0.6588235294117648,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,0.25471044778823854,0.45,-5.979529929799126,6.429529929799126,0,0,0,0,-33.04730314016342,offload,0.9926470588235293,0.6588235294117648,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,0.25471044778823854,0.45,-5.979529929799126,6.429529929799126,neutral,0.7098484848484848,0.9651515151515152,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.13849062323570252,-0.1,-0.8,0.7,neutral,0.478030303030303,0.9893939393939395,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.6493468403816223,-0.8,-0.8,-6.106226635438361e-17
train,13,560,feasible_embb_offload_only,offload,0.9970588235294118,0.6,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,-0.35657898187637327,-0.45,-5.593360429030618,5.143360429030618,1,1,0,0,-24.523415371775627,offload,0.9970588235294118,0.6,0.8823529411764707,0.17647058823529413,4.0,1.0,-1.0,1.0,-0.35657898187637327,-0.45,-5.593360429030618,5.143360429030618,neutral,0.55,0.9265151515151515,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-2.0776851296424867,-2.0,-0.7300000000000001,-1.27,neutral,0.4204545454545455,0.9030303030303031,0.5454545454545454,0.48484848484848486,1.175,2.825,0.0,0.0,-2.1268090903759003,-1.75,-0.7175,-1.0325
train,14,600,feasible_embb_offload_only,offload,0.9676470588235293,0.7220588235294118,0.8823529411764707,0.17647058823529413,2.825,2.175,-1.0,1.0,-2.48288409113884,-2.45,-5.862514191061512,3.4125141910615127,3,3,0,0,-38.4875653386116,offload,0.9676470588235293,0.7220588235294118,0.8823529411764707,0.17647058823529413,2.825,2.175,-1.0,1.0,-2.48288409113884,-2.45,-5.862514191061512,3.4125141910615127,neutral,0.5401515151515152,0.6977272727272726,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-4.065336662530899,-4.35,-0.8,-3.55,neutral,0.5962121212121213,0.8386363636363636,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-2.1687862873077393,-1.8,-0.8,-1.0
train,15,640,feasible_embb_offload_only,offload,0.9661764705882353,0.9485294117647058,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.095660710334778,-5.15,-5.974114846753165,0.8241148467531645,2,2,0,0,-42.067460119724274,offload,0.9661764705882353,0.9485294117647058,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.095660710334778,-5.15,-5.974114846753165,0.8241148467531645,neutral,0.6409090909090909,0.8204545454545455,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-5.462343603372574,-5.4,-0.665,-4.735,neutral,0.7863636363636364,0.45,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,0.37308218479156496,0.5,-0.8,1.3
train,16,680,feasible_embb_offload_only,offload,0.6852941176470588,0.9867647058823529,0.8823529411764707,0.17647058823529413,1.15,3.85,-1.0,1.0,-5.156021589040757,-5.35,-5.919951906806807,0.5699519068068069,3,3,0,0,-51.07306492328644,offload,0.6852941176470588,0.9867647058823529,0.8823529411764707,0.17647058823529413,1.15,3.85,-1.0,1.0,-5.156021589040757,-5.35,-5.919951906806807,0.5699519068068069,neutral,0.9363636363636363,0.21818181818181817,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-5.25847937464714,-5.25,-0.5762500000000002,-4.67375,neutral,0.7946969696969697,0.3848484848484849,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,3.6811005592346193,3.75,-0.8,4.55
train,17,720,feasible_embb_offload_only,offload,0.7279411764705882,0.9882352941176471,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.078179448843002,-5.05,-5.961464796531139,0.911464796531139,2,2,0,0,-44.59971559047699,offload,0.7279411764705882,0.9882352941176471,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.078179448843002,-5.05,-5.961464796531139,0.911464796531139,neutral,0.7522727272727272,0.4242424242424242,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-5.08654471039772,-5.0,-0.7237500000000001,-4.27625,neutral,0.9704545454545453,0.7219696969696969,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,2.6438868165016176,2.5,-0.8,3.3
train,18,760,feasible_embb_offload_only,offload,0.2,1.0,0.1764705882352941,0.17647058823529413,0.625,4.375,0.05,1.0,-4.456122744083404,-4.6,-1.8071139902523075,-2.7928860097476926,4,4,0,0,-15.249934654682875,offload,0.2,1.0,0.1764705882352941,0.17647058823529413,0.625,4.375,0.05,1.0,-4.456122744083404,-4.6,-1.8071139902523075,-2.7928860097476926,neutral,0.9363636363636363,0.31212121212121213,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-3.7712890267372132,-3.45,-0.63375,-2.81625,neutral,0.9,0.4340909090909091,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,0.1611883521080017,0.3,-0.8,1.1
train,19,800,feasible_embb_offload_only,offload,0.04852941176470588,1.0,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-4.997419625520706,-5.1,-2.862476597524268,-2.2375234024757322,4,4,0,0,-8.582861460745335,offload,0.04852941176470588,1.0,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-4.997419625520706,-5.1,-2.862476597524268,-2.2375234024757322,neutral,0.9666666666666668,0.2272727272727273,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.436516273021698,0.05,-0.55125,0.60125,neutral,0.9674242424242424,0.25,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-1.229434961080551,-1.3,-0.8,-0.5000000000000001
