step,budget_prbs,allocated_prbs,used_prbs,allocated_load,demand_prbs,demand_load,queue_bits,queue_pressure,arrived_bits,scheduled_bits,served_bits,served_ratio,service_to_arrival_ratio,tx_success_ratio,ue_count,throughput_bps,delay_s,dropped_bits
44,50,8,8,0.16,0,0.0,0.0,0.0,5400.0,5400.0,5400.0,1.0,1.0,1.0,2,1901045.3754390108,0.0,0.0
45,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,1959024.4679302303,0.0,0.0
46,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2015843.978571626,0.0,0.0
47,50,8,8,0.16,0,0.0,0.0,0.0,5400.0,5400.0,5400.0,1.0,1.0,1.0,2,2083527.0990001932,0.0,0.0
48,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2137856.5570201892,0.0,0.0
49,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2191099.4258797853,0.0,0.0
50,50,8,8,0.16,0,0.0,0.0,0.0,5400.0,5400.0,5400.0,1.0,1.0,1.0,2,2255277.4373621894,0.0,0.0
51,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2306171.888614946,0.0,0.0
52,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2356048.450842647,0.0,0.0
53,50,8,8,0.16,0,0.0,0.0,0.0,5400.0,5400.0,5400.0,1.0,1.0,1.0,2,2416927.4818257936,0.0,0.0
54,50,8,8,0.16,0,0.0,0.0,0.0,4800.0,4800.0,4800.0,1.0,1.0,1.0,2,2464588.932189278,0.0,0.0
55,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2415297.1535454923,0.0,0.0
56,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2366991.2104745824,0.0,0.0
57,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2319651.3862650907,0.0,0.0
58,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2273258.3585397885,0.0,0.0
59,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2227793.191368993,0.0,0.0
60,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2183237.327541613,0.0,0.0
61,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2139572.5809907806,0.0,0.0
62,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2096781.129370965,0.0,0.0
63,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2054845.5067835457,0.0,0.0
64,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2013748.5966478747,0.0,0.0
65,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1973473.624714917,0.0,0.0
66,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1934004.1522206187,0.0,0.0
67,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1895324.0691762064,0.0,0.0
68,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1857417.587792682,0.0,0.0
69,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1820269.2360368283,0.0,0.0
70,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1783863.8513160916,0.0,0.0
71,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1748186.5742897699,0.0,0.0
72,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1713222.8428039742,0.0,0.0
73,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1678958.3859478948,0.0,0.0
74,50,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1645379.2182289367,0.0,0.0
