step,episode,episode_step,reward,episode_return,done,scenario_name,load_variance,overload_ratio,sla_count,handover_count,load_imbalance_start,load_imbalance_end,instant_reward_mean,bias_matrix,load_matrix,ue_count_matrix
1,0,1,-1.8046870231628418,-1.8046870231628418,False,embb_g0_offload,0.08488929701050914,0.3333333333333333,0.0,0,0.08222222222222224,0.08488929701050914,-1.7993528972403248,"[[0.6862823367118835, 0.19011534750461578, 0.9107601642608643], [-0.5055237412452698, 0.5019064545631409, 1.0], [-0.4405677616596222, -0.6733269095420837, -1.0]]","[[1.0, 0.0, 0.12121212121212122], [1.0, 0.6060606060606061, 0.0], [1.0, 0.0, 0.0]]","[[5.0, 3.0, 3.0], [2.0, 3.0, 3.0], [2.0, 3.0, 3.0]]"
2,0,2,-0.18912528455257416,-1.993812307715416,False,embb_g0_offload,0.044893378226711564,0.3333333333333333,0.0,2,0.08488929701050914,0.044893378226711564,-0.2691171274363934,"[[-0.9042768478393555, 0.2848621606826782, 1.0], [0.5078144669532776, -1.0, 0.12952280044555664], [0.21130214631557465, -1.0, 0.38639035820961]]","[[1.0, 0.0, 0.12121212121212122], [1.0, 0.36363636363636365, 0.0], [1.0, 0.0, 0.30303030303030304]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
3,0,3,-0.7209632992744446,-2.7147756069898605,False,embb_g0_offload,0.22222222222222224,0.4444444444444444,0.0,20,0.044893378226711564,0.22222222222222224,-0.36630559418071157,"[[-0.7647284269332886, -0.27338987588882446, -0.18750238418579102], [-1.0, 0.004461085889488459, -0.3557582199573517], [-0.6406792402267456, -0.9745075106620789, 0.43489423394203186]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 1.0, 0.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
4,0,4,0.1366700530052185,-2.578105553984642,False,embb_g0_offload,0.022854810733598605,0.3333333333333333,0.0,14,0.22222222222222224,0.022854810733598605,-0.2620647769538019,"[[-0.4344002306461334, 0.07228155434131622, 0.12595151364803314], [0.4754876494407654, 0.39969661831855774, 0.83095383644104], [-1.0, -1.0, 1.0]]","[[1.0, 0.0, 0.30303030303030304], [1.0, 0.0, 0.5454545454545454], [1.0, 0.0, 0.18181818181818182]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
5,0,5,-0.31006920337677,-2.888174757361412,False,embb_g0_offload,0.06040199979593918,0.3333333333333333,0.0,2,0.022854810733598605,0.06040199979593918,-0.23497482491388855,"[[-0.01633298583328724, -0.5976024866104126, -0.15657475590705872], [0.12391191720962524, 1.0, 1.0], [-0.6897339820861816, -0.09178823977708817, -0.2511495351791382]]","[[1.0, 0.24242424242424243, 0.18181818181818182], [1.0, 0.36363636363636365, 0.06060606060606061], [1.0, 0.7878787878787878, 0.0]]","[[5.0, 3.0, 3.0], [2.0, 3.0, 3.0], [2.0, 3.0, 3.0]]"
6,0,6,-0.6408294439315796,-3.5290042012929916,False,embb_g0_offload,0.22956841138659323,0.4444444444444444,0.0,1,0.06040199979593918,0.22956841138659323,-0.3024965999740666,"[[-0.3837904930114746, -1.0, 1.0], [0.8863915801048279, 0.41146576404571533, -0.6602028608322144], [1.0, 0.4761543571949005, 0.6840264201164246]]","[[1.0, 0.0, 0.0], [1.0, 1.0, 0.18181818181818182], [1.0, 0.0, 0.0]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
7,0,7,-0.3418532907962799,-3.8708574920892715,False,embb_g0_offload,0.16794204672992552,0.4444444444444444,0.0,10,0.22956841138659323,0.16794204672992552,-0.46510602023330927,"[[-0.4407171905040741, -0.598102331161499, -0.18183927237987518], [0.03727751597762108, -0.3101634085178375, -0.7073080539703369], [-0.8254862427711487, -1.0, -1.0]]","[[1.0, 1.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.42424242424242425, 0.0]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
8,0,8,-0.10709023475646973,-3.9779477268457413,False,embb_g0_offload,0.013059891847770637,0.3333333333333333,0.0,2,0.16794204672992552,0.013059891847770637,-0.4168545477121513,"[[-0.21553802490234375, -0.7725276947021484, -0.9928391575813293], [0.2863638997077942, 0.014312174171209335, -0.8848066329956055], [0.38189956545829773, 1.0, -1.0]]","[[1.0, 0.30303030303030304, 0.36363636363636365], [1.0, 0.36363636363636365, 0.42424242424242425], [1.0, 0.42424242424242425, 0.18181818181818182]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
9,0,9,-0.6743164658546448,-4.652264192700386,False,embb_g0_offload,0.18957249260279563,0.4444444444444444,0.0,1,0.013059891847770637,0.18957249260279563,-0.3212912421349119,"[[-0.08855660259723663, -1.0, 1.0], [-0.3522876501083374, -1.0, -0.3913213908672333], [-0.540958046913147, -0.4951259195804596, -0.3742330074310303]]","[[1.0, 0.6060606060606061, 0.30303030303030304], [1.0, 0.0, 0.0], [1.0, 1.0, 0.0]]","[[5.0, 3.0, 3.0], [2.0, 3.0, 3.0], [2.0, 3.0, 3.0]]"
10,0,10,-0.45471522212028503,-5.106979414820671,False,embb_g0_offload,0.19487807366595244,0.4444444444444444,0.0,11,0.18957249260279563,0.19487807366595244,-0.44410404870016995,"[[-1.0, 0.0977833941578865, 0.4629400372505188], [-0.03500740975141525, -1.0, -0.5725277662277222], [0.4238213896751404, -0.9788759350776672, -0.03507305309176445]]","[[1.0, 0.0, 0.18181818181818182], [1.0, 0.18181818181818182, 0.06060606060606061], [1.0, 1.0, 0.0]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
11,0,11,-0.3755013048648834,-5.4824807196855545,False,embb_g0_offload,0.22222222222222224,0.5555555555555556,0.0,0,0.19487807366595244,0.22222222222222224,-0.32081301657744066,"[[1.0, 0.08024431765079498, 0.022806376218795776], [-0.6626302003860474, 0.2621774673461914, 1.0], [0.7773109078407288, 0.5978788733482361, 1.0]]","[[1.0, 0.0, 0.0], [1.0, 1.0, 0.0], [1.0, 1.0, 0.0]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
12,0,12,-0.29824182391166687,-5.780722543597221,True,embb_g0_offload,0.17794102642587495,0.4444444444444444,0.0,0,0.22222222222222224,0.17794102642587495,-0.38680422438704365,"[[0.8795022368431091, -0.5812123417854309, 0.5037227272987366], [0.0940832793712616, 1.0, -0.31399211287498474], [0.4328347146511078, -0.05640963464975357, 1.0]]","[[1.0, 0.0, 0.9696969696969697], [1.0, 0.42424242424242425, 0.18181818181818182], [1.0, 0.0, 0.18181818181818182]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
13,1,1,-4.858460426330566,-4.858460426330566,False,embb_g0_offload,0.11182532394653606,0.3333333333333333,1.0,1,0.08381391772395232,0.11182532394653606,-4.802437398287195,"[[0.815192699432373, -1.0, 1.0], [0.532133162021637, -1.0, 0.7434749007225037], [0.7068475484848022, 0.16911084949970245, -0.689628541469574]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.24242424242424243], [1.0, 0.6666666666666666, 0.0]]","[[4.0, 3.0, 3.0], [2.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
